city,lat,lng
Plymouth,40.2921,-90.9163
Sparland,41.0294,-89.441
Bull Valley,42.3223,-88.3634
Rosiclare,37.4239,-88.3501
Sidell,39.9097,-87.8236
Highland Park,42.1823,-87.8105
Seneca,41.321,-88.588
Roseville,40.7308,-90.6639
Hillview,39.4496,-90.5387
Trout Valley,42.1978,-88.2537
Altona,41.115,-90.1648
Clarendon Hills,41.798,-87.9569
Hopkins Park,41.0689,-87.6064
Calumet City,41.6134,-87.5505
San Jose,40.3051,-89.6048
Cambria,37.78,-89.1189
Biggsville,40.8539,-90.8621
Ogden,40.115,-87.9563
Oakwood Hills,42.2478,-88.2393
Ottawa,41.3532,-88.8307
Deer Creek,40.6291,-89.3315
Time,39.5612,-90.7234
Carlock,40.5835,-89.1287
Schiller Park,41.9586,-87.8693
Murrayville,39.582,-90.2517
Oglesby,41.296,-89.0693
Sailor Springs,38.7645,-88.3602
Channel Lake,42.4831,-88.1491
Vermilion,39.58,-87.5877
Marion,37.7171,-88.9275
Roanoke,40.7969,-89.2023
Venice,38.6719,-90.1689
Marissa,38.2501,-89.7746
Fults,38.1644,-90.2129
Eagarville,39.1121,-89.7832
Burlington,42.0415,-88.5511
Mendon,40.0892,-91.2858
London Mills,40.7106,-90.2661
Hume,39.7985,-87.8693
Cisne,38.5141,-88.4371
Bluffs,39.7494,-90.5352
Saybrook,40.4286,-88.526
Lake Forest,42.238,-87.8596
River Grove,41.9243,-87.8379
Pesotum,39.9129,-88.2744
Dixmoor,41.633,-87.6672
Payson,39.8169,-91.2443
Dix,38.4431,-88.9423
Warrensburg,39.932,-89.0628
Galva,41.1689,-90.0375
Yale,39.1203,-88.0246
Alsey,39.5593,-90.4329
Beason,40.1423,-89.1951
Villa Grove,39.8644,-88.16
Lacon,41.0228,-89.4061
Prospect Heights,42.1039,-87.9267
Allenville,39.5585,-88.5383
Tremont,40.5248,-89.4906
Easton,40.232,-89.8412
Benson,40.8505,-89.1211
Rosemont,41.989,-87.8717
Edwardsville,38.7922,-89.9881
Franklin,39.6205,-90.0477
Paxton,40.4563,-88.1021
Chesterfield,39.2566,-90.0668
Williamsfield,40.9264,-90.0182
Sorento,39.0008,-89.5748
Fairmount,40.0456,-87.8293
Stockton,42.3526,-90.0019
Elmwood Park,41.9225,-87.8163
Mascoutah,38.5191,-89.8045
Northlake,41.9143,-87.9054
Chapin,39.767,-90.4027
Athens,39.9619,-89.7216
Decatur,39.8556,-88.9337
Breese,38.6138,-89.5231
Goodfield,40.6251,-89.2694
Peru,41.349,-89.1368
Milford,40.6274,-87.6962
Lake in the Hills,42.1913,-88.3478
Oregon,42.0132,-89.3356
Casey,39.3027,-87.9896
Farmer City,40.248,-88.6423
Mansfield,40.2122,-88.5081
Reddick,41.0985,-88.2486
McCook,41.7959,-87.841
