year,county,candidate,party,candidatevotes
2000,Monroe,Al Gore,democrat,1910.0
2000,Monroe,George W. Bush,republican,1329.0
2000,Montgomery,Al Gore,democrat,1438.0
2000,Montgomery,George W. Bush,republican,2128.0
2000,Nevada,Al Gore,democrat,1867.0
2000,Nevada,George W. Bush,republican,1796.0
2000,Newton,Al Gore,democrat,1205.0
2000,Newton,George W. Bush,republican,2529.0
2000,Ouachita,Al Gore,democrat,5464.0
2000,Ouachita,George W. Bush,republican,4739.0
2000,Perry,Al Gore,democrat,1648.0
2000,Perry,George W. Bush,republican,2114.0
2000,Phillips,Al Gore,democrat,6018.0
2000,Phillips,George W. Bush,republican,3154.0
2000,Pike,Al Gore,democrat,1604.0
2000,Pike,George W. Bush,republican,2275.0
2000,Poinsett,Al Gore,democrat,4102.0
2000,Poinsett,George W. Bush,republican,2988.0
2000,Polk,Al Gore,democrat,2315.0
2000,Polk,George W. Bush,republican,4600.0
2000,Pope,Al Gore,democrat,6669.0
2000,Pope,George W. Bush,republican,11244.0
2000,Prairie,Al Gore,democrat,1563.0
2000,Prairie,George W. Bush,republican,1862.0
2000,Pulaski,Al Gore,democrat,68320.0
2000,Pulaski,George W. Bush,republican,55866.0
2000,Randolph,Al Gore,democrat,3019.0
2000,Randolph,George W. Bush,republican,2673.0
2000,St. Francis,Al Gore,democrat,4986.0
2000,St. Francis,George W. Bush,republican,3414.0
2000,Saline,Al Gore,democrat,12700.0
2000,Saline,George W. Bush,republican,18617.0
2000,Scott,Al Gore,democrat,1444.0
2000,Scott,George W. Bush,republican,2399.0
2000,Searcy,Al Gore,democrat,1229.0
2000,Searcy,George W. Bush,republican,2610.0
2000,Sebastian,Al Gore,democrat,15555.0
2000,Sebastian,George W. Bush,republican,23483.0
2000,Sevier,Al Gore,democrat,2095.0
2000,Sevier,George W. Bush,republican,2111.0
2000,Sharp,Al Gore,democrat,3236.0
2000,Sharp,George W. Bush,republican,3698.0
2000,Stone,Al Gore,democrat,2043.0
2000,Stone,George W. Bush,republican,2623.0
2000,Union,Al Gore,democrat,6261.0
2000,Union,George W. Bush,republican,8647.0
2000,Van Buren,Al Gore,democrat,3202.0
2000,Van Buren,George W. Bush,republican,3485.0
2000,Washington,Al Gore,democrat,21425.0
2000,Washington,George W. Bush,republican,28231.0
2000,White,Al Gore,democrat,8342.0
2000,White,George W. Bush,republican,13170.0
2000,Woodruff,Al Gore,democrat,1699.0
2000,Woodruff,George W. Bush,republican,898.0
2000,Yell,Al Gore,democrat,3062.0
2000,Yell,George W. Bush,republican,3223.0
2000,Alameda,Al Gore,democrat,342889.0
2000,Alameda,George W. Bush,republican,119279.0
2000,Alpine,Al Gore,democrat,265.0
2000,Alpine,George W. Bush,republican,281.0
2000,Amador,Al Gore,democrat,5906.0
2000,Amador,George W. Bush,republican,8766.0
2000,Butte,Al Gore,democrat,31338.0
2000,Butte,George W. Bush,republican,45584.0
2000,Calaveras,Al Gore,democrat,7093.0
2000,Calaveras,George W. Bush,republican,10599.0
2000,Colusa,Al Gore,democrat,1745.0
2000,Colusa,George W. Bush,republican,3629.0
2000,Contra Costa,Al Gore,democrat,224338.0
2000,Contra Costa,George W. Bush,republican,141373.0
2000,Del Norte,Al Gore,democrat,3117.0
2000,Del Norte,George W. Bush,republican,4526.0
2000,El Dorado,Al Gore,democrat,26220.0
2000,El Dorado,George W. Bush,republican,42045.0
2000,Fresno,Al Gore,democrat,95059.0
2000,Fresno,George W. Bush,republican,117342.0
2000,Glenn,Al Gore,democrat,2498.0
2000,Glenn,George W. Bush,republican,5795.0
2000,Humboldt,Al Gore,democrat,24851.0
2000,Humboldt,George W. Bush,republican,23219.0
2000,Imperial,Al Gore,democrat,15489.0
2000,Imperial,George W. Bush,republican,12524.0
2000,Inyo,Al Gore,democrat,2652.0
2000,Inyo,George W. Bush,republican,4713.0
2000,Kern,Al Gore,democrat,66003.0
2000,Kern,George W. Bush,republican,110663.0
2000,Kings,Al Gore,democrat,11041.0
2000,Kings,George W. Bush,republican,16377.0
2000,Lake,Al Gore,democrat,10717.0
2000,Lake,George W. Bush,republican,8699.0
2000,Lassen,Al Gore,democrat,2982.0
2000,Lassen,George W. Bush,republican,7080.0
2000,Los Angeles,Al Gore,democrat,1710505.0
2000,Los Angeles,George W. Bush,republican,871930.0
2000,Madera,Al Gore,democrat,11650.0
2000,Madera,George W. Bush,republican,20283.0
2000,Marin,Al Gore,democrat,79135.0
2000,Marin,George W. Bush,republican,34872.0
2000,Mariposa,Al Gore,democrat,2816.0
2000,Mariposa,George W. Bush,republican,4727.0
2000,Mendocino,Al Gore,democrat,16634.0
2000,Mendocino,George W. Bush,republican,12272.0
2000,Merced,Al Gore,democrat,22726.0
2000,Merced,George W. Bush,republican,26102.0
2000,Modoc,Al Gore,democrat,945.0
2000,Modoc,George W. Bush,republican,2969.0
2000,Mono,Al Gore,democrat,1788.0
2000,Mono,George W. Bush,republican,2296.0
2000,Monterey,Al Gore,democrat,67618.0
2000,Monterey,George W. Bush,republican,43761.0
2000,Napa,Al Gore,democrat,28097.0
2000,Napa,George W. Bush,republican,20633.0
2000,Nevada,Al Gore,democrat,17670.0
2000,Nevada,George W. Bush,republican,25998.0
2000,Orange,Al Gore,democrat,391819.0
2000,Orange,George W. Bush,republican,541299.0
2000,Placer,Al Gore,democrat,42449.0
2000,Placer,George W. Bush,republican,69835.0
2000,Plumas,Al Gore,democrat,3458.0
2000,Plumas,George W. Bush,republican,6343.0
2000,Riverside,Al Gore,democrat,202576.0
2000,Riverside,George W. Bush,republican,231955.0
2000,Sacramento,Al Gore,democrat,212792.0
2000,Sacramento,George W. Bush,republican,195619.0
2000,San Benito,Al Gore,democrat,9131.0
2000,San Benito,George W. Bush,republican,7015.0
2000,San Bernardino,Al Gore,democrat,214749.0
2000,San Bernardino,George W. Bush,republican,221757.0
2000,San Diego,Al Gore,democrat,437666.0
2000,San Diego,George W. Bush,republican,475736.0
2000,San Francisco,Al Gore,democrat,241578.0
2000,San Francisco,George W. Bush,republican,51496.0
2000,San Joaquin,Al Gore,democrat,79776.0
2000,San Joaquin,George W. Bush,republican,81773.0
2000,San Luis Obispo,Al Gore,democrat,44526.0
2000,San Luis Obispo,George W. Bush,republican,56859.0
2000,San Mateo,Al Gore,democrat,166757.0
2000,San Mateo,George W. Bush,republican,80296.0
2000,Santa Barbara,Al Gore,democrat,73411.0
2000,Santa Barbara,George W. Bush,republican,71493.0
2000,Santa Clara,Al Gore,democrat,332490.0
2000,Santa Clara,George W. Bush,republican,188750.0
2000,Santa Cruz,Al Gore,democrat,66618.0
2000,Santa Cruz,George W. Bush,republican,29627.0
2000,Shasta,Al Gore,democrat,20127.0
2000,Shasta,George W. Bush,republican,43278.0
2000,Sierra,Al Gore,democrat,540.0
2000,Sierra,George W. Bush,republican,1172.0
2000,Siskiyou,Al Gore,democrat,6323.0
2000,Siskiyou,George W. Bush,republican,12198.0
2000,Solano,Al Gore,democrat,75116.0
2000,Solano,George W. Bush,republican,51604.0
2000,Sonoma,Al Gore,democrat,117295.0
2000,Sonoma,George W. Bush,republican,63529.0
2000,Stanislaus,Al Gore,democrat,56448.0
2000,Stanislaus,George W. Bush,republican,67188.0
2000,Sutter,Al Gore,democrat,8416.0
2000,Sutter,George W. Bush,republican,17350.0
2000,Tehama,Al Gore,democrat,6507.0
2000,Tehama,George W. Bush,republican,13270.0
2000,Trinity,Al Gore,democrat,1932.0
2000,Trinity,George W. Bush,republican,3340.0
2000,Tulare,Al Gore,democrat,33006.0
2000,Tulare,George W. Bush,republican,54070.0
2000,Tuolumne,Al Gore,democrat,9359.0
2000,Tuolumne,George W. Bush,republican,13172.0
2000,Ventura,Al Gore,democrat,133258.0
2000,Ventura,George W. Bush,republican,136173.0
2000,Yolo,Al Gore,democrat,33747.0
2000,Yolo,George W. Bush,republican,23057.0
2000,Yuba,Al Gore,democrat,5546.0
2000,Yuba,George W. Bush,republican,9838.0
2000,Adams,Al Gore,democrat,54132.0
2000,Adams,George W. Bush,republican,47561.0
2000,Alamosa,Al Gore,democrat,2455.0
2000,Alamosa,George W. Bush,republican,2857.0
2000,Arapahoe,Al Gore,democrat,82614.0
2000,Arapahoe,George W. Bush,republican,97768.0
