year,county,candidate,party,candidatevotes
2004,Boone,George W. Bush,republican,11132.0
2004,Brown,John Kerry,democrat,895.0
2004,Brown,George W. Bush,republican,1679.0
2004,Bureau,John Kerry,democrat,7961.0
2004,Bureau,George W. Bush,republican,9822.0
2004,Calhoun,John Kerry,democrat,1367.0
2004,Calhoun,George W. Bush,republican,1317.0
2004,Carroll,John Kerry,democrat,3537.0
2004,Carroll,George W. Bush,republican,4534.0
2004,Cass,John Kerry,democrat,2492.0
2004,Cass,George W. Bush,republican,3163.0
2004,Champaign,John Kerry,democrat,41524.0
2004,Champaign,George W. Bush,republican,39896.0
2004,Christian,John Kerry,democrat,6112.0
2004,Christian,George W. Bush,republican,9044.0
2004,Clark,John Kerry,democrat,2877.0
2004,Clark,George W. Bush,republican,5082.0
2004,Clay,John Kerry,democrat,2101.0
2004,Clay,George W. Bush,republican,4416.0
2004,Clinton,John Kerry,democrat,6797.0
2004,Clinton,George W. Bush,republican,10219.0
2004,Coles,John Kerry,democrat,9566.0
2004,Coles,George W. Bush,republican,13015.0
2004,Cook,John Kerry,democrat,1439724.0
2004,Cook,George W. Bush,republican,597405.0
2004,Crawford,John Kerry,democrat,3194.0
2004,Crawford,George W. Bush,republican,6083.0
2004,Cumberland,John Kerry,democrat,1862.0
2004,Cumberland,George W. Bush,republican,3497.0
2004,DeKalb,John Kerry,democrat,19263.0
2004,DeKalb,George W. Bush,republican,21095.0
2004,De Witt,John Kerry,democrat,2836.0
2004,De Witt,George W. Bush,republican,4920.0
2004,Douglas,John Kerry,democrat,2767.0
2004,Douglas,George W. Bush,republican,5702.0
2004,DuPage,John Kerry,democrat,180097.0
2004,DuPage,George W. Bush,republican,218902.0
2004,Edgar,John Kerry,democrat,3093.0
2004,Edgar,George W. Bush,republican,5258.0
2004,Edwards,John Kerry,democrat,930.0
2004,Edwards,George W. Bush,republican,2412.0
2004,Effingham,John Kerry,democrat,4388.0
2004,Effingham,George W. Bush,republican,11774.0
2004,Fayette,John Kerry,democrat,3571.0
2004,Fayette,George W. Bush,republican,5880.0
2004,Ford,John Kerry,democrat,1912.0
2004,Ford,George W. Bush,republican,4511.0
2004,Franklin,John Kerry,democrat,8816.0
2004,Franklin,George W. Bush,republican,10388.0
2004,Fulton,John Kerry,democrat,9080.0
2004,Fulton,George W. Bush,republican,7818.0
2004,Gallatin,John Kerry,democrat,1573.0
2004,Gallatin,George W. Bush,republican,1619.0
2004,Greene,John Kerry,democrat,2457.0
2004,Greene,George W. Bush,republican,3559.0
2004,Grundy,John Kerry,democrat,8463.0
2004,Grundy,George W. Bush,republican,11198.0
2004,Hamilton,John Kerry,democrat,1814.0
2004,Hamilton,George W. Bush,republican,2653.0
2004,Hancock,John Kerry,democrat,3975.0
2004,Hancock,George W. Bush,republican,5837.0
2004,Hardin,John Kerry,democrat,923.0
2004,Hardin,George W. Bush,republican,1501.0
2004,Henderson,John Kerry,democrat,2269.0
2004,Henderson,George W. Bush,republican,1857.0
2004,Henry,John Kerry,democrat,11877.0
2004,Henry,George W. Bush,republican,13212.0
2004,Iroquois,John Kerry,democrat,3832.0
2004,Iroquois,George W. Bush,republican,9914.0
2004,Jackson,John Kerry,democrat,14300.0
2004,Jackson,George W. Bush,republican,11190.0
2004,Jasper,John Kerry,democrat,1781.0
2004,Jasper,George W. Bush,republican,3529.0
2004,Jefferson,John Kerry,democrat,6713.0
2004,Jefferson,George W. Bush,republican,10160.0
2004,Jersey,John Kerry,democrat,4597.0
2004,Jersey,George W. Bush,republican,5435.0
2004,Jo Daviess,John Kerry,democrat,5311.0
2004,Jo Daviess,George W. Bush,republican,6174.0
2004,Johnson,John Kerry,democrat,1813.0
2004,Johnson,George W. Bush,republican,3997.0
2004,Kane,John Kerry,democrat,75922.0
2004,Kane,George W. Bush,republican,94359.0
2004,Kankakee,John Kerry,democrat,20003.0
2004,Kankakee,George W. Bush,republican,24739.0
2004,Kendall,John Kerry,democrat,12374.0
2004,Kendall,George W. Bush,republican,19774.0
2004,Knox,John Kerry,democrat,13403.0
2004,Knox,George W. Bush,republican,11111.0
2004,Lake,John Kerry,democrat,134352.0
2004,Lake,George W. Bush,republican,139081.0
2004,LaSalle,John Kerry,democrat,24263.0
2004,LaSalle,George W. Bush,republican,26101.0
2004,Lawrence,John Kerry,democrat,2518.0
2004,Lawrence,George W. Bush,republican,4162.0
2004,Lee,John Kerry,democrat,6416.0
2004,Lee,George W. Bush,republican,9307.0
2004,Livingston,John Kerry,democrat,5632.0
2004,Livingston,George W. Bush,republican,10316.0
2004,Logan,John Kerry,democrat,4273.0
2004,Logan,George W. Bush,republican,9112.0
2004,McDonough,John Kerry,democrat,7119.0
2004,McDonough,George W. Bush,republican,7656.0
2004,McHenry,John Kerry,democrat,50330.0
2004,McHenry,George W. Bush,republican,76412.0
2004,McLean,John Kerry,democrat,29877.0
2004,McLean,George W. Bush,republican,41276.0
2004,Macon,John Kerry,democrat,23341.0
2004,Macon,George W. Bush,republican,28118.0
2004,Macoupin,John Kerry,democrat,11193.0
2004,Macoupin,George W. Bush,republican,11413.0
2004,Madison,John Kerry,democrat,63399.0
2004,Madison,George W. Bush,republican,59384.0
2004,Marion,John Kerry,democrat,7694.0
2004,Marion,George W. Bush,republican,9413.0
2004,Marshall,John Kerry,democrat,2806.0
2004,Marshall,George W. Bush,republican,3734.0
2004,Mason,John Kerry,democrat,3215.0
2004,Mason,George W. Bush,republican,3907.0
2004,Massac,John Kerry,democrat,2805.0
2004,Massac,George W. Bush,republican,4578.0
2004,Menard,John Kerry,democrat,2137.0
2004,Menard,George W. Bush,republican,4408.0
2004,Mercer,John Kerry,democrat,4512.0
2004,Mercer,George W. Bush,republican,4405.0
2004,Monroe,John Kerry,democrat,6788.0
2004,Monroe,George W. Bush,republican,9468.0
2004,Montgomery,John Kerry,democrat,5979.0
2004,Montgomery,George W. Bush,republican,6851.0
2004,Morgan,John Kerry,democrat,5650.0
2004,Morgan,George W. Bush,republican,9392.0
2004,Moultrie,John Kerry,democrat,2388.0
2004,Moultrie,George W. Bush,republican,4028.0
2004,Ogle,John Kerry,democrat,9018.0
2004,Ogle,George W. Bush,republican,14918.0
2004,Peoria,John Kerry,democrat,41121.0
2004,Peoria,George W. Bush,republican,41051.0
2004,Perry,John Kerry,democrat,4770.0
2004,Perry,George W. Bush,republican,5589.0
2004,Piatt,John Kerry,democrat,3124.0
2004,Piatt,George W. Bush,republican,5392.0
2004,Pike,John Kerry,democrat,2849.0
2004,Pike,George W. Bush,republican,5032.0
2004,Pope,John Kerry,democrat,918.0
2004,Pope,George W. Bush,republican,1500.0
2004,Pulaski,John Kerry,democrat,1372.0
2004,Pulaski,George W. Bush,republican,1720.0
2004,Putnam,John Kerry,democrat,1704.0
2004,Putnam,George W. Bush,republican,1623.0
2004,Randolph,John Kerry,democrat,6771.0
2004,Randolph,George W. Bush,republican,8076.0
2004,Richland,John Kerry,democrat,2529.0
2004,Richland,George W. Bush,republican,5153.0
2004,Rock Island,John Kerry,democrat,39880.0
2004,Rock Island,George W. Bush,republican,29663.0
2004,St. Clair,John Kerry,democrat,62410.0
2004,St. Clair,George W. Bush,republican,50203.0
2004,Saline,John Kerry,democrat,4697.0
2004,Saline,George W. Bush,republican,7057.0
2004,Sangamon,John Kerry,democrat,38630.0
2004,Sangamon,George W. Bush,republican,55904.0
2004,Schuyler,John Kerry,democrat,1594.0
2004,Schuyler,George W. Bush,republican,2403.0
2004,Scott,John Kerry,democrat,927.0
2004,Scott,George W. Bush,republican,1696.0
2004,Shelby,John Kerry,democrat,3744.0
2004,Shelby,George W. Bush,republican,6753.0
2004,Stark,John Kerry,democrat,1189.0
2004,Stark,George W. Bush,republican,1841.0
2004,Stephenson,John Kerry,democrat,8913.0
2004,Stephenson,George W. Bush,republican,12212.0
2004,Tazewell,John Kerry,democrat,25814.0
2004,Tazewell,George W. Bush,republican,36058.0
2004,Union,John Kerry,democrat,3735.0
2004,Union,George W. Bush,republican,5333.0
2004,Vermilion,John Kerry,democrat,14726.0
2004,Vermilion,George W. Bush,republican,18731.0
2004,Wabash,John Kerry,democrat,1752.0
2004,Wabash,George W. Bush,republican,4212.0
2004,Warren,John Kerry,democrat,3938.0
2004,Warren,George W. Bush,republican,4474.0
2004,Washington,John Kerry,democrat,2986.0
2004,Washington,George W. Bush,republican,5072.0
2004,Wayne,John Kerry,democrat,2139.0
2004,Wayne,George W. Bush,republican,6102.0
2004,White,John Kerry,democrat,3071.0
2004,White,George W. Bush,republican,5180.0
2004,Whiteside,John Kerry,democrat,13723.0
2004,Whiteside,George W. Bush,republican,12959.0
2004,Will,John Kerry,democrat,115625.0
2004,Will,George W. Bush,republican,129098.0
2004,Williamson,John Kerry,democrat,11685.0
2004,Williamson,George W. Bush,republican,18086.0
2004,Winnebago,John Kerry,democrat,59740.0
2004,Winnebago,George W. Bush,republican,60782.0
2004,Woodford,John Kerry,democrat,6005.0
2004,Woodford,George W. Bush,republican,12698.0
2008,Adams,Barack Obama,democrat,11794.0
2008,Adams,John McCain,republican,18711.0
2008,Alexander,Barack Obama,democrat,2189.0
2008,Alexander,John McCain,republican,1692.0
2008,Bond,Barack Obama,democrat,3843.0
2008,Bond,John McCain,republican,3947.0
2008,Boone,Barack Obama,democrat,11333.0
2008,Boone,John McCain,republican,10403.0
2008,Brown,Barack Obama,democrat,986.0
2008,Brown,John McCain,republican,1544.0
2008,Bureau,Barack Obama,democrat,8889.0
2008,Bureau,John McCain,republican,7911.0
2008,Calhoun,Barack Obama,democrat,1423.0
2008,Calhoun,John McCain,republican,1221.0
2008,Carroll,Barack Obama,democrat,3965.0
2008,Carroll,John McCain,republican,3596.0
2008,Cass,Barack Obama,democrat,2690.0
2008,Cass,John McCain,republican,2617.0
2008,Champaign,Barack Obama,democrat,48597.0
2008,Champaign,John McCain,republican,33871.0
2008,Christian,Barack Obama,democrat,6918.0
2008,Christian,John McCain,republican,7872.0
2008,Clark,Barack Obama,democrat,3742.0
2008,Clark,John McCain,republican,4409.0
2008,Clay,Barack Obama,democrat,2425.0
2008,Clay,John McCain,republican,3926.0
2008,Clinton,Barack Obama,democrat,7657.0
2008,Clinton,John McCain,republican,9357.0
2008,Coles,Barack Obama,democrat,11716.0
2008,Coles,John McCain,republican,10978.0
2008,Cook,Barack Obama,democrat,1629024.0
2008,Cook,John McCain,republican,487736.0
2008,Crawford,Barack Obama,democrat,3883.0
2008,Crawford,John McCain,republican,5070.0
2008,Cumberland,Barack Obama,democrat,2055.0
2008,Cumberland,John McCain,republican,3156.0
2008,DeKalb,Barack Obama,democrat,25784.0
2008,DeKalb,John McCain,republican,18266.0
2008,De Witt,Barack Obama,democrat,3308.0
2008,De Witt,John McCain,republican,4348.0
2008,Douglas,Barack Obama,democrat,3228.0
2008,Douglas,John McCain,republican,5005.0
2008,DuPage,Barack Obama,democrat,228698.0
2008,DuPage,John McCain,republican,183626.0
2008,Edgar,Barack Obama,democrat,3743.0
2008,Edgar,John McCain,republican,4398.0
2008,Edwards,Barack Obama,democrat,1140.0
2008,Edwards,John McCain,republican,2137.0
2008,Effingham,Barack Obama,democrat,5262.0
2008,Effingham,John McCain,republican,11323.0
2008,Fayette,Barack Obama,democrat,3967.0
2008,Fayette,John McCain,republican,5499.0
2008,Ford,Barack Obama,democrat,2227.0
2008,Ford,John McCain,republican,4079.0
2008,Franklin,Barack Obama,democrat,8880.0
2008,Franklin,John McCain,republican,9404.0
2008,Fulton,Barack Obama,democrat,9732.0
2008,Fulton,John McCain,republican,6251.0
2008,Gallatin,Barack Obama,democrat,1587.0
2008,Gallatin,John McCain,republican,1212.0
2008,Greene,Barack Obama,democrat,2619.0
2008,Greene,John McCain,republican,3053.0
2008,Grundy,Barack Obama,democrat,11063.0
2008,Grundy,John McCain,republican,10687.0
2008,Hamilton,Barack Obama,democrat,1796.0
2008,Hamilton,John McCain,republican,2353.0
2008,Hancock,Barack Obama,democrat,4141.0
2008,Hancock,John McCain,republican,5161.0
2008,Hardin,Barack Obama,democrat,892.0
2008,Hardin,John McCain,republican,1330.0
2008,Henderson,Barack Obama,democrat,2215.0
2008,Henderson,John McCain,republican,1541.0
2008,Henry,Barack Obama,democrat,13181.0
2008,Henry,John McCain,republican,11263.0
2008,Iroquois,Barack Obama,democrat,4643.0
2008,Iroquois,John McCain,republican,8695.0
2008,Jackson,Barack Obama,democrat,15248.0
2008,Jackson,John McCain,republican,9687.0
2008,Jasper,Barack Obama,democrat,2063.0
2008,Jasper,John McCain,republican,2964.0
2008,Jefferson,Barack Obama,democrat,7462.0
2008,Jefferson,John McCain,republican,9302.0
2008,Jersey,Barack Obama,democrat,5042.0
2008,Jersey,John McCain,republican,5329.0
2008,Jo Daviess,Barack Obama,democrat,6403.0
2008,Jo Daviess,John McCain,republican,5170.0
2008,Johnson,Barack Obama,democrat,1871.0
2008,Johnson,John McCain,republican,3912.0
2008,Kane,Barack Obama,democrat,106756.0
2008,Kane,John McCain,republican,83963.0
2008,Kankakee,Barack Obama,democrat,24750.0
2008,Kankakee,John McCain,republican,22527.0
2008,Kendall,Barack Obama,democrat,24742.0
2008,Kendall,John McCain,republican,21380.0
2008,Knox,Barack Obama,democrat,14191.0
2008,Knox,John McCain,republican,9419.0
2008,Lake,Barack Obama,democrat,177242.0
2008,Lake,John McCain,republican,118545.0
2008,LaSalle,Barack Obama,democrat,27443.0
